"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"308741279263637505","","","308659405904310272","101621268","2013-03-05 00:50:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @bob_brodie: A wonderful overview of NoSQL and neo4j: http://t.co/cLlWcXse5R","http://www.youtube.com/watch?v=UodTzseLh04"
"308716752018219009","","","308697494483767296","16931266","2013-03-04 23:13:04 +0000","web","RT @taigeair: @DataSift has one of the best SaaS product pages I've seen. #Onboarding #Conversion Best Practice. Full Analysis: http://t ..."
"308656237191499777","","","","","2013-03-04 19:12:36 +0000","web","/me puts the book down and goes home.. Kinda weird doing research at work - don't really have anything to show for today.. Odd..."
"308633629171531776","308633377588793344","78104215","","","2013-03-04 17:42:45 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@willemkokke it isn’t the space - it is having to use an IDE that has me depressed :("
"308611641333907457","","","","","2013-03-04 16:15:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","OH: “I am going to take a picture of my shit tonight!”"
"308606728054906880","308604034649042944","212603717","","","2013-03-04 15:55:52 +0000","web","@carisenda That's why I went for it - seemed to be the best out of a bad lot... Hopefully I can go into fullscreen mode and forget..."
"308603069120270336","","","","","2013-03-04 15:41:19 +0000","web","Disgusting #IDESSUCKSOTHEYDO http://t.co/2SMnpifKDy","http://twitter.com/swmcc/status/308603069120270336/photo/1"
"308590641900814337","","","308562954960392192","859195014","2013-03-04 14:51:57 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @npm_tweets: neo4j-supervisor 0.1.1 http://t.co/L1OgvZFVl2 manage a neo4j server installation","http://npmjs.org/package/neo4j-supervisor"
"308589601440792578","308589355247742976","445071004","","","2013-03-04 14:47:48 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@marcus_r1975 batman is an idea not just a man…. So we are capable of being batman :) My job is done so I can now hang up the cape :)"
"308589239149412352","308582728788475904","445071004","","","2013-03-04 14:46:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@marcus_r1975 Awesome!!!! :D"
"308574357687517184","308572714715721728","14604982","","","2013-03-04 13:47:14 +0000","web","@johngirvin /me takes the photo and says ""I know"" - /me drives off"
"308546855317405696","","","","","2013-03-04 11:57:57 +0000","web","Thanks for the donught @bigwetfish and @moesdonuts for the surprise earlier. There would have been a pic but a racoon stole it! :)"
"308340249736646656","308288175556685825","53155256","","","2013-03-03 22:16:58 +0000","web","@DebbieCReid ahhh crap. I should have said :( Fathers day is soon though - might get the oul fella that... Hmmmm.. Good idea :)"
"308339560092405760","","","","","2013-03-03 22:14:14 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","I just bought: 'The Coop (Thickets Wood Trilogy)' by Rebecca Reid via @KindleUK http://t.co/9Kl8DtvcnE","http://www.amazon.co.uk/dp/B009BBGY0E/ref=cm_sw_r_tw_ask_dgwAF.1GCXTT5"
"308339417792262145","","","308326636791685121","731412510","2013-03-03 22:13:40 +0000","web","RT @thicketswood: Only a few hours left to grab your copy of 'The Coop' for free.......http://t.co/vTgsTS4fTj #NI #ebook #amazon #author","http://www.amazon.co.uk/Coop-Thickets-Wood-Trilogy-ebook/dp/B009BBGY0E/ref=sr_1_1?s=digital-text&ie=UTF8&qid=1362345709&sr=1-1"
"308238087966826497","308234344571478017","609442047","","","2013-03-03 15:31:01 +0000","web","@Xtinamccu that'd be her texting me the reaction of the oul fella when he found all the post-its I put in his room covered in drawn cocks."
"308177075397853184","","","","","2013-03-03 11:28:35 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Result http://t.co/vToTgAWPLW","http://twitter.com/swmcc/status/308177075397853184/photo/1"
"307589981231280128","","","","","2013-03-01 20:35:40 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Dad on me saying that I am gonna take the piss out of him when he turns 70: 'Do what you want as I'll be in the corner chewing my own dick'"
"307493062274347008","307492977406787585","168142553","","","2013-03-01 14:10:33 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@slabbery always ;)"
"307492858066243584","","","","","2013-03-01 14:09:44 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","That last tweet was brought to you by a post on upgrading framework versions… Stuff like that winds me up. Your ‘site’ should never be off!"
"307492590058602496","","","","","2013-03-01 14:08:41 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","“Before performing an update you should take your site offline by replacing the index.php file with a static one.” &lt;- THIS IS SO WRONG!!!"
"307472384833748993","","","","","2013-03-01 12:48:23 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">Camera on iOS</a>","Poor bastards are really giving it Dixie. First valet I've ever given her and I've had her 4years :) http://t.co/ZyFvzNPij8","http://twitter.com/swmcc/status/307472384833748993/photo/1"
"307444041719635969","307443353186885633","241959103","","","2013-03-01 10:55:46 +0000","web","@ChrisKnowles_ that's a good idea. You should do that instead of wasting time on games :)"
"307442818232762369","307442682060500992","241959103","","","2013-03-01 10:50:54 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@ChrisKnowles_ i haven’t a fucking clue what you are on about son :)"
"307442114957041664","307441574667755520","241959103","","","2013-03-01 10:48:06 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@ChrisKnowles_ what you doing?"
"307440806854283264","","","","","2013-03-01 10:42:54 +0000","<a href=""http://spotify.com"" rel=""nofollow"">Spotify</a>","I love this playlist by Ant - listen to it most Fridays when I need to push stuff to the 'did' category :D http://t.co/h6lphtqvqU #Spotify","http://spoti.fi/YNiH9W"
"307253002165686272","307252837493121024","169048119","","","2013-02-28 22:16:38 +0000","web","@smccalden @szlwzl must resist obvious trap......"
"307252034455891968","307251713490968577","3604141","","","2013-02-28 22:12:48 +0000","web","@szlwzl @smccalden http://t.co/CIfkNHiSm8 this is what the internet is for! #genius","http://www.youtube.com/watch?v=mkBi7xe2Mpk"
"307250154061316098","307249973932748801","169048119","","","2013-02-28 22:05:19 +0000","web","@smccalden @davehedo yes but 90% of the stuff I say on this is your dumb remarks... like the one today - golden.. cannot repeat it though :("
"307247824809119745","","","","","2013-02-28 21:56:04 +0000","web","Am trying to take my feed down a more techie route. Kinda hard when you work with a @smccalden but this is gold http://t.co/L0DTdaHLam","http://www.youtube.com/watch?v=BCv-HxktZFc"
